"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 07 14:24:44 CEST 2021","Wed Apr 07 14:24:44 CEST 2021","305","","yelpSearchTransactions_allFaultyHalfHalfOriginalDependencies.YelpSearchTransactionsTest_1jifm6jejq3w6","","yelpSearchTransactions_allFaultyHalfHalfOriginalDependencies.YelpSearchTransactionsTest_1jifm6jejq3w6","test_s162punju1ip_getTransactions","test_s162punju1ip_getTransactions",""
"passed","Wed Apr 07 14:22:09 CEST 2021","Wed Apr 07 14:22:09 CEST 2021","410","","yelpSearchTransactions_allFaultyHalfHalfOriginalDependencies.YelpSearchTransactionsTest_1jifm6jejq3w6","","yelpSearchTransactions_allFaultyHalfHalfOriginalDependencies.YelpSearchTransactionsTest_1jifm6jejq3w6","test_1iv6jv6gwb2hx_getTransactions","test_1iv6jv6gwb2hx_getTransactions",""
"passed","Wed Apr 07 14:21:12 CEST 2021","Wed Apr 07 14:21:12 CEST 2021","319","","yelpSearchTransactions_allFaultyHalfHalfOriginalDependencies.YelpSearchTransactionsTest_1jifm6jejq3w6","","yelpSearchTransactions_allFaultyHalfHalfOriginalDependencies.YelpSearchTransactionsTest_1jifm6jejq3w6","test_1hrlzqniibtr7_getTransactions","test_1hrlzqniibtr7_getTransactions",""
"passed","Wed Apr 07 14:21:10 CEST 2021","Wed Apr 07 14:21:11 CEST 2021","426","","yelpSearchTransactions_allFaultyHalfHalfOriginalDependencies.YelpSearchTransactionsTest_1jifm6jejq3w6","","yelpSearchTransactions_allFaultyHalfHalfOriginalDependencies.YelpSearchTransactionsTest_1jifm6jejq3w6","test_1hrjpw8zxc94n_getTransactions","test_1hrjpw8zxc94n_getTransactions",""
"passed","Wed Apr 07 14:21:58 CEST 2021","Wed Apr 07 14:21:59 CEST 2021","303","","yelpSearchTransactions_allFaultyHalfHalfOriginalDependencies.YelpSearchTransactionsTest_1jifm6jejq3w6","","yelpSearchTransactions_allFaultyHalfHalfOriginalDependencies.YelpSearchTransactionsTest_1jifm6jejq3w6","test_1if0krfdc5d15_getTransactions","test_1if0krfdc5d15_getTransactions",""
"passed","Wed Apr 07 14:25:49 CEST 2021","Wed Apr 07 14:25:49 CEST 2021","396","","yelpSearchTransactions_allFaultyHalfHalfOriginalDependencies.YelpSearchTransactionsTest_1jifm6jejq3w6","","yelpSearchTransactions_allFaultyHalfHalfOriginalDependencies.YelpSearchTransactionsTest_1jifm6jejq3w6","test_t8cgbs84a737_getTransactions","test_t8cgbs84a737_getTransactions",""
"passed","Wed Apr 07 14:25:46 CEST 2021","Wed Apr 07 14:25:46 CEST 2021","313","","yelpSearchTransactions_allFaultyHalfHalfOriginalDependencies.YelpSearchTransactionsTest_1jifm6jejq3w6","","yelpSearchTransactions_allFaultyHalfHalfOriginalDependencies.YelpSearchTransactionsTest_1jifm6jejq3w6","test_t84ldjnxwy1x_getTransactions","test_t84ldjnxwy1x_getTransactions",""
"passed","Wed Apr 07 14:27:30 CEST 2021","Wed Apr 07 14:27:30 CEST 2021","405","","yelpSearchTransactions_allFaultyHalfHalfOriginalDependencies.YelpSearchTransactionsTest_1jifm6jejq3w6","","yelpSearchTransactions_allFaultyHalfHalfOriginalDependencies.YelpSearchTransactionsTest_1jifm6jejq3w6","test_vevuqqbbmm9c_getTransactions","test_vevuqqbbmm9c_getTransactions",""
"passed","Wed Apr 07 14:24:13 CEST 2021","Wed Apr 07 14:24:13 CEST 2021","313","","yelpSearchTransactions_allFaultyHalfHalfOriginalDependencies.YelpSearchTransactionsTest_1jifm6jejq3w6","","yelpSearchTransactions_allFaultyHalfHalfOriginalDependencies.YelpSearchTransactionsTest_1jifm6jejq3w6","test_rhdcct0ej2gj_getTransactions","test_rhdcct0ej2gj_getTransactions",""
"passed","Wed Apr 07 14:24:55 CEST 2021","Wed Apr 07 14:24:55 CEST 2021","303","","yelpSearchTransactions_allFaultyHalfHalfOriginalDependencies.YelpSearchTransactionsTest_1jifm6jejq3w6","","yelpSearchTransactions_allFaultyHalfHalfOriginalDependencies.YelpSearchTransactionsTest_1jifm6jejq3w6","test_s4sda5a4dbuc_getTransactions","test_s4sda5a4dbuc_getTransactions",""
