"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 08 14:46:45 CEST 2021","Thu Apr 08 14:46:45 CEST 2021","466","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","test_tog5457ovcqg_getTransactions","test_tog5457ovcqg_getTransactions",""
"passed","Thu Apr 08 14:48:34 CEST 2021","Thu Apr 08 14:48:34 CEST 2021","368","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","test_uve5ruhq7ihu_getTransactions","test_uve5ruhq7ihu_getTransactions",""
"passed","Thu Apr 08 14:41:25 CEST 2021","Thu Apr 08 14:41:26 CEST 2021","409","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","test_1iynb9v87ls9u_getTransactions","test_1iynb9v87ls9u_getTransactions",""
"passed","Thu Apr 08 14:48:02 CEST 2021","Thu Apr 08 14:48:03 CEST 2021","842","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","test_urmudb13vyhw_getTransactions","test_urmudb13vyhw_getTransactions",""
"passed","Thu Apr 08 14:41:52 CEST 2021","Thu Apr 08 14:41:53 CEST 2021","493","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","test_1jifj2che8s4k_getTransactions","test_1jifj2che8s4k_getTransactions",""
"passed","Thu Apr 08 14:41:54 CEST 2021","Thu Apr 08 14:41:55 CEST 2021","1083","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","test_1jifkmd0d9fzs_getTransactions","test_1jifkmd0d9fzs_getTransactions",""
"passed","Thu Apr 08 14:43:43 CEST 2021","Thu Apr 08 14:43:43 CEST 2021","392","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","test_r1a1iz9h7d5t_getTransactions","test_r1a1iz9h7d5t_getTransactions",""
"passed","Thu Apr 08 14:40:51 CEST 2021","Thu Apr 08 14:40:52 CEST 2021","380","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","test_1iun7ujlat6qp_getTransactions","test_1iun7ujlat6qp_getTransactions",""
"passed","Thu Apr 08 14:49:08 CEST 2021","Thu Apr 08 14:49:09 CEST 2021","370","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","test_vf6fg38avqk2_getTransactions","test_vf6fg38avqk2_getTransactions",""
"passed","Thu Apr 08 14:38:17 CEST 2021","Thu Apr 08 14:38:17 CEST 2021","439","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","test_1h7j654skts1f_getTransactions","test_1h7j654skts1f_getTransactions",""
"passed","Thu Apr 08 14:46:00 CEST 2021","Thu Apr 08 14:46:01 CEST 2021","1360","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","test_t4id28j6tult_getTransactions","test_t4id28j6tult_getTransactions",""
"passed","Thu Apr 08 14:40:03 CEST 2021","Thu Apr 08 14:40:04 CEST 2021","860","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","test_1hvb1ro6chnxf_getTransactions","test_1hvb1ro6chnxf_getTransactions",""
"passed","Thu Apr 08 14:46:36 CEST 2021","Thu Apr 08 14:46:36 CEST 2021","396","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","test_toa38pkq3ho0_getTransactions","test_toa38pkq3ho0_getTransactions",""
"passed","Thu Apr 08 14:47:00 CEST 2021","Thu Apr 08 14:47:01 CEST 2021","379","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","test_trqvfucmnygp_getTransactions","test_trqvfucmnygp_getTransactions",""
"passed","Thu Apr 08 14:41:00 CEST 2021","Thu Apr 08 14:41:01 CEST 2021","421","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","test_1iuy7r5augx2b_getTransactions","test_1iuy7r5augx2b_getTransactions",""
"passed","Thu Apr 08 14:44:28 CEST 2021","Thu Apr 08 14:44:29 CEST 2021","573","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","test_rl0389zfnupj_getTransactions","test_rl0389zfnupj_getTransactions",""
"passed","Thu Apr 08 14:43:42 CEST 2021","Thu Apr 08 14:43:42 CEST 2021","369","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","test_r17c0tbmgfhg_getTransactions","test_r17c0tbmgfhg_getTransactions",""
"passed","Thu Apr 08 14:46:24 CEST 2021","Thu Apr 08 14:46:24 CEST 2021","416","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","test_t8a60rxe9hkm_getTransactions","test_t8a60rxe9hkm_getTransactions",""
"passed","Thu Apr 08 14:47:31 CEST 2021","Thu Apr 08 14:47:31 CEST 2021","401","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","test_u87zlc9r2blj_getTransactions","test_u87zlc9r2blj_getTransactions",""
"passed","Thu Apr 08 14:41:29 CEST 2021","Thu Apr 08 14:41:30 CEST 2021","384","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","test_1jefebm595ws8_getTransactions","test_1jefebm595ws8_getTransactions",""
"passed","Thu Apr 08 14:39:09 CEST 2021","Thu Apr 08 14:39:10 CEST 2021","753","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","test_1hrdpl7o1de1y_getTransactions","test_1hrdpl7o1de1y_getTransactions",""
"passed","Thu Apr 08 14:47:55 CEST 2021","Thu Apr 08 14:47:56 CEST 2021","382","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","test_urgrs80i6fjk_getTransactions","test_urgrs80i6fjk_getTransactions",""
"passed","Thu Apr 08 14:45:06 CEST 2021","Thu Apr 08 14:45:07 CEST 2021","549","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","test_s4mtcggylw6p_getTransactions","test_s4mtcggylw6p_getTransactions",""
"passed","Thu Apr 08 14:44:42 CEST 2021","Thu Apr 08 14:44:42 CEST 2021","437","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","","yelpSearchTransactions_allNominalIgnoreDependencies.YelpSearchTransactionsTest_t4ncqnjvvqyd","test_s100wxgkhjjr_getTransactions","test_s100wxgkhjjr_getTransactions",""
